,Name,Defending,General,Mental,Passing,Mobility,Power,Rating,Shooting,Nationality,Flag,Club,club_logo,Photo
5880,E. Saveljich,68,49,52,48,48,62,70,34,Montenegro,https://cdn.sofifa.org/flags/15.png,UD Almería,https://cdn.sofifa.org/teams/2/light/1861.png,https://cdn.sofifa.org/players/4/19/211270.png
5881,Tang Miao,64,52,62,65,74,72,69,32,China PR,https://cdn.sofifa.org/flags/155.png,Guangzhou R&F; FC,https://cdn.sofifa.org/teams/2/light/112429.png,https://cdn.sofifa.org/players/4/19/222278.png
5882,J. Mees,17,64,52,60,72,66,74,62,Germany,https://cdn.sofifa.org/flags/21.png,1. FC Union Berlin,https://cdn.sofifa.org/teams/2/light/1831.png,https://cdn.sofifa.org/players/4/19/229702.png
5883,C. Cáceda,13,13,23,18,36,51,71,12,Peru,https://cdn.sofifa.org/flags/59.png,No club,https://cdn.sofifa.org/flags/59.png,https://cdn.sofifa.org/players/4/19/234054.png
5884,O. Fernández,34,58,54,68,68,68,70,59,Colombia,https://cdn.sofifa.org/flags/56.png,Puebla FC,https://cdn.sofifa.org/teams/2/light/110152.png,https://cdn.sofifa.org/players/4/19/241990.png
5885,Jeffrén,37,69,59,73,72,64,69,64,Venezuela,https://cdn.sofifa.org/flags/61.png,Grasshopper Club Zürich,https://cdn.sofifa.org/teams/2/light/322.png,https://cdn.sofifa.org/players/4/19/189510.png
5886,K. Manneh,35,62,55,59,84,67,72,66,United States,https://cdn.sofifa.org/flags/95.png,FC St. Gallen,https://cdn.sofifa.org/teams/2/light/898.png,https://cdn.sofifa.org/players/4/19/212807.png
5887,G. Larsonneur,15,17,26,24,49,52,74,17,France,https://cdn.sofifa.org/flags/18.png,Stade Brestois 29,https://cdn.sofifa.org/teams/2/light/378.png,https://cdn.sofifa.org/players/4/19/230727.png
5888,O. Kúdela,69,58,63,65,72,75,69,56,Czech Republic,https://cdn.sofifa.org/flags/12.png,SK Slavia Praha,https://cdn.sofifa.org/teams/2/light/266.png,https://cdn.sofifa.org/players/4/19/180808.png
5889,E. Bourgaud,44,68,58,69,66,64,69,67,France,https://cdn.sofifa.org/flags/18.png,Red Star FC,https://cdn.sofifa.org/teams/2/light/111273.png,https://cdn.sofifa.org/players/4/19/182856.png
5890,P. Huspek,28,61,48,63,80,73,69,58,Austria,https://cdn.sofifa.org/flags/4.png,SK Sturm Graz,https://cdn.sofifa.org/teams/2/light/209.png,https://cdn.sofifa.org/players/4/19/192328.png
5891,G. Maluleka,60,69,60,73,70,68,69,68,South Africa,https://cdn.sofifa.org/flags/140.png,Kaizer Chiefs,https://cdn.sofifa.org/teams/2/light/110929.png,https://cdn.sofifa.org/players/4/19/203593.png
5892,T. Jurić,40,61,61,53,59,65,70,69,Australia,https://cdn.sofifa.org/flags/195.png,FC Luzern,https://cdn.sofifa.org/teams/2/light/897.png,https://cdn.sofifa.org/players/4/19/213321.png
5893,F. Scaglia,73,50,50,46,52,68,70,28,Italy,https://cdn.sofifa.org/flags/27.png,Cittadella,https://cdn.sofifa.org/teams/2/light/111993.png,https://cdn.sofifa.org/players/4/19/220489.png
5894,David Rodríguez,27,62,56,57,74,71,69,67,Spain,https://cdn.sofifa.org/flags/45.png,CA Osasuna,https://cdn.sofifa.org/teams/2/light/479.png,https://cdn.sofifa.org/players/4/19/170569.png
5895,H. Kekana,58,61,72,67,69,75,69,70,South Africa,https://cdn.sofifa.org/flags/140.png,No club,https://cdn.sofifa.org/flags/140.png,https://cdn.sofifa.org/players/4/19/203594.png
5896,C. Dibon,67,51,61,50,66,75,70,29,Austria,https://cdn.sofifa.org/flags/4.png,SK Rapid Wien,https://cdn.sofifa.org/teams/2/light/254.png,https://cdn.sofifa.org/players/4/19/203850.png
5897,R. Petretta,70,55,63,66,74,68,76,36,Italy,https://cdn.sofifa.org/flags/27.png,FC Basel 1893,https://cdn.sofifa.org/teams/2/light/896.png,https://cdn.sofifa.org/players/4/19/237642.png
5898,M. Scozzarella,51,65,68,72,82,68,69,65,Italy,https://cdn.sofifa.org/flags/27.png,Parma,https://cdn.sofifa.org/teams/2/light/50.png,https://cdn.sofifa.org/players/4/19/173130.png
5899,M. Kaye,60,59,62,68,71,66,72,48,Canada,https://cdn.sofifa.org/flags/70.png,Los Angeles FC,https://cdn.sofifa.org/teams/2/light/112996.png,https://cdn.sofifa.org/players/4/19/238922.png
5900,Y. Toyokawa,17,65,48,46,82,70,72,66,Japan,https://cdn.sofifa.org/flags/163.png,KAS Eupen,https://cdn.sofifa.org/teams/2/light/2013.png,https://cdn.sofifa.org/players/4/19/241994.png
5901,L. Bittante,64,62,60,65,72,63,70,44,Italy,https://cdn.sofifa.org/flags/27.png,Empoli,https://cdn.sofifa.org/teams/2/light/1746.png,https://cdn.sofifa.org/players/4/19/216139.png
5902,E. Velarde,68,60,63,67,70,72,69,60,Mexico,https://cdn.sofifa.org/flags/83.png,Monarcas Morelia,https://cdn.sofifa.org/teams/2/light/1028.png,https://cdn.sofifa.org/players/4/19/157515.png
5903,D. Jones,67,65,67,71,64,67,69,63,England,https://cdn.sofifa.org/flags/14.png,Sheffield Wednesday,https://cdn.sofifa.org/teams/2/light/1807.png,https://cdn.sofifa.org/players/4/19/162891.png
5904,M. Cahais,68,54,56,55,56,66,69,49,Argentina,https://cdn.sofifa.org/flags/52.png,San Martin de Tucumán,https://cdn.sofifa.org/teams/2/light/111714.png,https://cdn.sofifa.org/players/4/19/172620.png
5905,M. Olivera,71,57,49,60,60,60,74,28,Uruguay,https://cdn.sofifa.org/flags/60.png,Albacete BP,https://cdn.sofifa.org/teams/2/light/1854.png,https://cdn.sofifa.org/players/4/19/240716.png
5906,M. Sax,20,65,59,62,74,72,70,52,Austria,https://cdn.sofifa.org/flags/4.png,FK Austria Wien,https://cdn.sofifa.org/teams/2/light/256.png,https://cdn.sofifa.org/players/4/19/203853.png
5907,A. Mühling,58,60,62,65,70,72,70,59,Germany,https://cdn.sofifa.org/flags/21.png,Holstein Kiel,https://cdn.sofifa.org/teams/2/light/576.png,https://cdn.sofifa.org/players/4/19/209485.png
5908,P. Bråtveit,13,14,32,22,50,50,72,18,Norway,https://cdn.sofifa.org/flags/36.png,FK Haugesund,https://cdn.sofifa.org/teams/2/light/1463.png,https://cdn.sofifa.org/players/4/19/211021.png
5909,F. Píriz,67,55,65,64,61,74,70,49,Uruguay,https://cdn.sofifa.org/flags/60.png,Montpellier HSC,https://cdn.sofifa.org/teams/2/light/70.png,https://cdn.sofifa.org/players/4/19/213325.png
5910,Ricardo Lopes,34,64,56,65,69,67,69,68,Brazil,https://cdn.sofifa.org/flags/54.png,Jeonbuk Hyundai Motors,https://cdn.sofifa.org/teams/2/light/1477.png,https://cdn.sofifa.org/players/4/19/228173.png
5911,P. Hamel,22,62,45,47,61,66,72,60,France,https://cdn.sofifa.org/flags/18.png,FC Lorient,https://cdn.sofifa.org/teams/2/light/217.png,https://cdn.sofifa.org/players/4/19/236621.png
5912,K. Mączyński,64,66,70,68,69,74,69,53,Poland,https://cdn.sofifa.org/flags/37.png,Legia Warszawa,https://cdn.sofifa.org/teams/2/light/1871.png,https://cdn.sofifa.org/players/4/19/174669.png
5913,M. Hamdy,74,48,52,40,65,71,74,42,Egypt,https://cdn.sofifa.org/flags/111.png,No club,https://cdn.sofifa.org/flags/111.png,https://cdn.sofifa.org/players/4/19/243533.png
5914,R. Pröpper,68,62,58,58,55,69,71,55,Netherlands,https://cdn.sofifa.org/flags/34.png,Heracles Almelo,https://cdn.sofifa.org/teams/2/light/100634.png,https://cdn.sofifa.org/players/4/19/208462.png
5915,C. N'Doye,65,68,67,65,58,76,69,61,Senegal,https://cdn.sofifa.org/flags/136.png,Angers SCO,https://cdn.sofifa.org/teams/2/light/1530.png,https://cdn.sofifa.org/players/4/19/219470.png
5916,Fernando Karanga,23,66,53,50,63,62,70,59,Brazil,https://cdn.sofifa.org/flags/54.png,Henan Jianye FC,https://cdn.sofifa.org/teams/2/light/111779.png,https://cdn.sofifa.org/players/4/19/221774.png
5917,C. Carter-Vickers,68,49,51,51,61,66,76,27,United States,https://cdn.sofifa.org/flags/95.png,Swansea City,https://cdn.sofifa.org/teams/2/light/1960.png,https://cdn.sofifa.org/players/4/19/228174.png
5918,E. Cobbaut,66,64,57,66,64,69,74,36,Belgium,https://cdn.sofifa.org/flags/7.png,RSC Anderlecht,https://cdn.sofifa.org/teams/2/light/229.png,https://cdn.sofifa.org/players/4/19/232526.png
5919,M. Dąbrowski,65,57,57,51,46,68,69,45,Poland,https://cdn.sofifa.org/flags/37.png,Zagłębie Lubin,https://cdn.sofifa.org/teams/2/light/110749.png,https://cdn.sofifa.org/players/4/19/187982.png
5920,F. Picault,33,64,60,60,80,67,69,61,United States,https://cdn.sofifa.org/flags/95.png,Philadelphia Union,https://cdn.sofifa.org/teams/2/light/112134.png,https://cdn.sofifa.org/players/4/19/230991.png
5921,R. Romo,13,15,33,22,55,49,70,15,Venezuela,https://cdn.sofifa.org/flags/61.png,No club,https://cdn.sofifa.org/flags/61.png,https://cdn.sofifa.org/players/4/19/193359.png
5922,A. Corzo,70,60,55,60,69,60,69,42,Peru,https://cdn.sofifa.org/flags/59.png,No club,https://cdn.sofifa.org/flags/59.png,https://cdn.sofifa.org/players/4/19/196688.png
5923,L. Dickmann,72,60,61,61,69,64,74,41,Italy,https://cdn.sofifa.org/flags/27.png,SPAL,https://cdn.sofifa.org/teams/2/light/112791.png,https://cdn.sofifa.org/players/4/19/229456.png
5924,Luis Pérez,65,60,60,56,81,74,73,43,Spain,https://cdn.sofifa.org/flags/45.png,CD Tenerife,https://cdn.sofifa.org/teams/2/light/260.png,https://cdn.sofifa.org/players/4/19/235088.png
5925,A. Barkok,52,71,57,60,68,63,75,58,Germany,https://cdn.sofifa.org/flags/21.png,Fortuna Düsseldorf,https://cdn.sofifa.org/teams/2/light/110636.png,https://cdn.sofifa.org/players/4/19/236624.png
5926,M. Watkins,24,64,56,63,76,75,69,54,Wales,https://cdn.sofifa.org/flags/50.png,Bristol City,https://cdn.sofifa.org/teams/2/light/1919.png,https://cdn.sofifa.org/players/4/19/189776.png
5927,H. Arslan,65,67,64,67,66,70,69,62,Turkey,https://cdn.sofifa.org/flags/48.png,Sivasspor,https://cdn.sofifa.org/teams/2/light/101041.png,https://cdn.sofifa.org/players/4/19/223313.png
5928,A. Camargo,59,59,63,72,61,74,69,47,Argentina,https://cdn.sofifa.org/flags/52.png,CD Universidad de Concepción,https://cdn.sofifa.org/teams/2/light/112534.png,https://cdn.sofifa.org/players/4/19/229201.png
5929,F. Müller,14,16,26,23,48,49,76,14,Germany,https://cdn.sofifa.org/flags/21.png,1. FSV Mainz 05,https://cdn.sofifa.org/teams/2/light/169.png,https://cdn.sofifa.org/players/4/19/234833.png
5930,B. Behrendt,70,47,58,60,64,70,70,53,Germany,https://cdn.sofifa.org/flags/21.png,DSC Arminia Bielefeld,https://cdn.sofifa.org/teams/2/light/159.png,https://cdn.sofifa.org/players/4/19/207954.png
5931,L. Zingerle,10,12,25,14,36,51,72,12,Germany,https://cdn.sofifa.org/flags/21.png,SC Paderborn 07,https://cdn.sofifa.org/teams/2/light/10030.png,https://cdn.sofifa.org/players/4/19/222546.png
5932,Mei Fang,71,44,51,45,59,66,69,29,China PR,https://cdn.sofifa.org/flags/155.png,Guangzhou Evergrande Taobao FC,https://cdn.sofifa.org/teams/2/light/111839.png,https://cdn.sofifa.org/players/4/19/223826.png
5933,M. Svanberg,48,61,59,68,72,68,76,63,Sweden,https://cdn.sofifa.org/flags/46.png,Bologna,https://cdn.sofifa.org/teams/2/light/189.png,https://cdn.sofifa.org/players/4/19/228946.png
5934,D. Bernhardt,14,18,22,20,43,42,69,16,Germany,https://cdn.sofifa.org/flags/21.png,VfR Aalen,https://cdn.sofifa.org/teams/2/light/550.png,https://cdn.sofifa.org/players/4/19/189267.png
5935,K. D'Haene,65,55,64,69,74,75,69,55,Belgium,https://cdn.sofifa.org/flags/7.png,KV Kortrijk,https://cdn.sofifa.org/teams/2/light/100081.png,https://cdn.sofifa.org/players/4/19/200532.png
5936,J. Malagón,69,50,47,39,58,74,72,25,Colombia,https://cdn.sofifa.org/flags/56.png,Patriotas Boyacá FC,https://cdn.sofifa.org/teams/2/light/112527.png,https://cdn.sofifa.org/players/4/19/214356.png
5937,Paulo Fajarda,70,42,57,49,60,64,69,38,Brazil,https://cdn.sofifa.org/flags/54.png,Cruzeiro,https://cdn.sofifa.org/teams/2/light/568.png,https://cdn.sofifa.org/players/4/19/230228.png
5938,Germán,65,54,60,58,55,73,69,34,Spain,https://cdn.sofifa.org/flags/45.png,Granada CF,https://cdn.sofifa.org/teams/2/light/110832.png,https://cdn.sofifa.org/players/4/19/198230.png
5939,B. Idowu,69,52,57,55,77,72,70,41,Nigeria,https://cdn.sofifa.org/flags/133.png,Lokomotiv Moscow,https://cdn.sofifa.org/teams/2/light/100765.png,https://cdn.sofifa.org/players/4/19/212054.png
5940,B. Mkhwanazi,74,42,49,57,63,72,70,34,South Africa,https://cdn.sofifa.org/flags/140.png,No club,https://cdn.sofifa.org/flags/140.png,https://cdn.sofifa.org/players/4/19/220246.png
5941,Toché,27,66,60,58,60,64,69,66,Spain,https://cdn.sofifa.org/flags/45.png,Real Oviedo,https://cdn.sofifa.org/teams/2/light/110827.png,https://cdn.sofifa.org/players/4/19/157270.png
5942,Hélder Ferreira,30,63,52,68,70,61,72,61,Portugal,https://cdn.sofifa.org/flags/38.png,Vitória Guimarães,https://cdn.sofifa.org/teams/2/light/1887.png,https://cdn.sofifa.org/players/4/19/239446.png
5943,G. Mandjeck,65,60,66,60,71,72,69,45,Cameroon,https://cdn.sofifa.org/flags/103.png,No club,https://cdn.sofifa.org/flags/103.png,https://cdn.sofifa.org/players/4/19/183382.png
5944,S. Morsy,64,55,70,63,71,77,70,54,Egypt,https://cdn.sofifa.org/flags/111.png,Wigan Athletic,https://cdn.sofifa.org/teams/2/light/1917.png,https://cdn.sofifa.org/players/4/19/197975.png
5945,T. Antonis,57,61,65,65,65,69,70,64,Australia,https://cdn.sofifa.org/flags/195.png,Melbourne Victory,https://cdn.sofifa.org/teams/2/light/111397.png,https://cdn.sofifa.org/players/4/19/200535.png
5946,M. Duffy,43,62,58,65,71,73,72,61,Northern Ireland,https://cdn.sofifa.org/flags/35.png,Dundalk,https://cdn.sofifa.org/teams/2/light/837.png,https://cdn.sofifa.org/players/4/19/210263.png
5947,A. Ndour,69,67,61,69,67,64,70,34,Senegal,https://cdn.sofifa.org/flags/136.png,RC Strasbourg Alsace,https://cdn.sofifa.org/teams/2/light/76.png,https://cdn.sofifa.org/players/4/19/215383.png
5948,Rafael Costa,49,65,56,70,63,62,70,69,Brazil,https://cdn.sofifa.org/flags/54.png,Boavista FC,https://cdn.sofifa.org/teams/2/light/1898.png,https://cdn.sofifa.org/players/4/19/223575.png
5949,K. Walker-Peters,70,62,62,65,70,70,74,32,England,https://cdn.sofifa.org/flags/14.png,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,https://cdn.sofifa.org/players/4/19/227927.png
5950,C. Luna,20,67,59,67,62,68,69,69,Argentina,https://cdn.sofifa.org/flags/52.png,Club Atlético Tigre,https://cdn.sofifa.org/teams/2/light/111715.png,https://cdn.sofifa.org/players/4/19/169815.png
5951,J. Bidwell,67,62,64,66,66,68,70,46,England,https://cdn.sofifa.org/flags/14.png,Queens Park Rangers,https://cdn.sofifa.org/teams/2/light/15.png,https://cdn.sofifa.org/players/4/19/196952.png
5952,F. Noguera,68,47,57,41,48,69,72,33,Argentina,https://cdn.sofifa.org/flags/52.png,Estudiantes de La Plata,https://cdn.sofifa.org/teams/2/light/101083.png,https://cdn.sofifa.org/players/4/19/223064.png
5953,T. Weah,27,66,52,57,75,64,77,62,United States,https://cdn.sofifa.org/flags/95.png,Paris Saint-Germain,https://cdn.sofifa.org/teams/2/light/73.png,https://cdn.sofifa.org/players/4/19/241496.png
5954,J. Paganoni,66,59,62,65,74,72,69,53,Mexico,https://cdn.sofifa.org/flags/83.png,Tiburones Rojos de Veracruz,https://cdn.sofifa.org/teams/2/light/110145.png,https://cdn.sofifa.org/players/4/19/179800.png
5955,A. Collin,62,54,60,56,48,70,69,45,France,https://cdn.sofifa.org/flags/18.png,New York Red Bulls,https://cdn.sofifa.org/teams/2/light/689.png,https://cdn.sofifa.org/players/4/19/184664.png
5956,Ripa,66,58,60,69,73,74,69,38,Spain,https://cdn.sofifa.org/flags/45.png,CD Numancia,https://cdn.sofifa.org/teams/2/light/477.png,https://cdn.sofifa.org/players/4/19/146521.png
5957,Galán,70,60,63,64,70,73,69,44,Spain,https://cdn.sofifa.org/flags/45.png,CF Rayo Majadahonda,https://cdn.sofifa.org/teams/2/light/110066.png,https://cdn.sofifa.org/players/4/19/193369.png
5958,M. Bolados,58,56,63,67,73,66,72,57,Chile,https://cdn.sofifa.org/flags/55.png,Universidad Católica,https://cdn.sofifa.org/teams/2/light/110975.png,https://cdn.sofifa.org/players/4/19/214874.png
5959,Sandro Maceira,42,64,63,72,70,63,69,64,Brazil,https://cdn.sofifa.org/flags/54.png,Atlético Paranaense,https://cdn.sofifa.org/teams/2/light/1039.png,https://cdn.sofifa.org/players/4/19/230490.png
5960,R. Ibarra,35,64,50,69,78,70,71,61,Ecuador,https://cdn.sofifa.org/flags/57.png,Minnesota United FC,https://cdn.sofifa.org/teams/2/light/111138.png,https://cdn.sofifa.org/players/4/19/241498.png
5961,N. Al Shamrani,24,60,64,56,72,79,69,67,Saudi Arabia,https://cdn.sofifa.org/flags/183.png,Al Shabab,https://cdn.sofifa.org/teams/2/light/111674.png,https://cdn.sofifa.org/players/4/19/191834.png
5962,R. Holmes,23,64,52,61,74,74,69,63,England,https://cdn.sofifa.org/flags/14.png,Oxford United,https://cdn.sofifa.org/teams/2/light/1951.png,https://cdn.sofifa.org/players/4/19/199516.png
5963,J. Cordoval,67,52,53,62,77,74,69,27,France,https://cdn.sofifa.org/flags/18.png,ESTAC Troyes,https://cdn.sofifa.org/teams/2/light/294.png,https://cdn.sofifa.org/players/4/19/215388.png
5964,M. Radović,33,67,64,61,64,63,69,59,Serbia,https://cdn.sofifa.org/flags/51.png,Legia Warszawa,https://cdn.sofifa.org/teams/2/light/1871.png,https://cdn.sofifa.org/players/4/19/167516.png
5965,G. Zigoni,35,64,53,45,64,69,70,60,Italy,https://cdn.sofifa.org/flags/27.png,Venezia FC,https://cdn.sofifa.org/teams/2/light/205.png,https://cdn.sofifa.org/players/4/19/191068.png
5966,J. Corona,58,70,65,68,72,66,69,64,United States,https://cdn.sofifa.org/flags/95.png,Club América,https://cdn.sofifa.org/teams/2/light/1879.png,https://cdn.sofifa.org/players/4/19/198749.png
5967,W. Bruin,29,65,60,51,64,71,69,63,United States,https://cdn.sofifa.org/flags/95.png,Seattle Sounders FC,https://cdn.sofifa.org/teams/2/light/111144.png,https://cdn.sofifa.org/players/4/19/202077.png
5968,J. Glad,66,45,54,53,65,72,73,29,United States,https://cdn.sofifa.org/flags/95.png,Real Salt Lake,https://cdn.sofifa.org/teams/2/light/111065.png,https://cdn.sofifa.org/players/4/19/222557.png
5969,D. Gordon,68,61,59,59,50,56,69,49,Jamaica,https://cdn.sofifa.org/flags/82.png,Karlsruher SC,https://cdn.sofifa.org/teams/2/light/1832.png,https://cdn.sofifa.org/players/4/19/182621.png
5970,P. Rodríguez,25,66,53,69,75,63,69,66,Argentina,https://cdn.sofifa.org/flags/52.png,Moreirense FC,https://cdn.sofifa.org/teams/2/light/1900.png,https://cdn.sofifa.org/players/4/19/207454.png
5971,E. Konsa,70,57,60,58,72,71,74,38,England,https://cdn.sofifa.org/flags/14.png,Brentford,https://cdn.sofifa.org/teams/2/light/1925.png,https://cdn.sofifa.org/players/4/19/227678.png
5972,O. Darfalou,21,63,50,53,71,70,72,61,Algeria,https://cdn.sofifa.org/flags/97.png,Vitesse,https://cdn.sofifa.org/teams/2/light/1909.png,https://cdn.sofifa.org/players/4/19/243806.png
5973,L. Murphy,66,60,66,69,62,65,69,62,England,https://cdn.sofifa.org/flags/14.png,Bolton Wanderers,https://cdn.sofifa.org/teams/2/light/4.png,https://cdn.sofifa.org/players/4/19/189278.png
5974,Chuli,34,64,56,64,75,64,70,60,Spain,https://cdn.sofifa.org/flags/45.png,Extremadura UD,https://cdn.sofifa.org/teams/2/light/469.png,https://cdn.sofifa.org/players/4/19/207711.png
5975,D. Suzuki,67,56,57,63,69,74,69,37,Japan,https://cdn.sofifa.org/flags/163.png,Kashiwa Reysol,https://cdn.sofifa.org/teams/2/light/101145.png,https://cdn.sofifa.org/players/4/19/233055.png
5976,A. Gholizadeh,47,56,52,69,74,69,72,50,Iran,https://cdn.sofifa.org/flags/161.png,Sporting de Charleroi,https://cdn.sofifa.org/teams/2/light/670.png,https://cdn.sofifa.org/players/4/19/243551.png
5977,I. Ouali,36,63,54,63,82,74,69,61,Algeria,https://cdn.sofifa.org/flags/97.png,KV Kortrijk,https://cdn.sofifa.org/teams/2/light/100081.png,https://cdn.sofifa.org/players/4/19/184927.png
5978,B. Holman,48,65,68,66,67,72,69,67,Australia,https://cdn.sofifa.org/flags/195.png,Brisbane Roar,https://cdn.sofifa.org/teams/2/light/111395.png,https://cdn.sofifa.org/players/4/19/138336.png
5979,J. Gyamerah,67,66,61,64,71,69,73,41,Germany,https://cdn.sofifa.org/flags/21.png,VfL Bochum 1848,https://cdn.sofifa.org/teams/2/light/160.png,https://cdn.sofifa.org/players/4/19/216416.png
5980,Cai Huikang,69,54,58,55,61,72,69,42,China PR,https://cdn.sofifa.org/flags/155.png,Shanghai SIPG FC,https://cdn.sofifa.org/teams/2/light/112540.png,https://cdn.sofifa.org/players/4/19/224608.png
5981,M. Pittón,69,62,65,63,68,70,72,52,Argentina,https://cdn.sofifa.org/flags/52.png,Unión de Santa Fe,https://cdn.sofifa.org/teams/2/light/111716.png,https://cdn.sofifa.org/players/4/19/228961.png
5982,T. Kuszczak,16,16,33,23,47,52,69,17,Poland,https://cdn.sofifa.org/flags/37.png,Birmingham City,https://cdn.sofifa.org/teams/2/light/88.png,https://cdn.sofifa.org/players/4/19/101473.png
5983,L. Blessing,35,59,58,54,83,65,74,61,Ghana,https://cdn.sofifa.org/flags/117.png,Los Angeles FC,https://cdn.sofifa.org/teams/2/light/112996.png,https://cdn.sofifa.org/players/4/19/237153.png
5984,D. Meyler,67,63,69,65,60,74,69,64,Republic of Ireland,https://cdn.sofifa.org/flags/25.png,Reading,https://cdn.sofifa.org/teams/2/light/1793.png,https://cdn.sofifa.org/players/4/19/187489.png
5985,J. Czerwiński,66,44,55,51,63,74,70,34,Poland,https://cdn.sofifa.org/flags/37.png,Piast Gliwice,https://cdn.sofifa.org/teams/2/light/111086.png,https://cdn.sofifa.org/players/4/19/214882.png
5986,R. Vilchis,41,59,56,67,76,71,69,60,Mexico,https://cdn.sofifa.org/flags/83.png,Monarcas Morelia,https://cdn.sofifa.org/teams/2/light/1028.png,https://cdn.sofifa.org/players/4/19/192354.png
5987,G. Valsvik,69,44,57,48,50,62,71,46,Norway,https://cdn.sofifa.org/flags/36.png,Eintracht Braunschweig,https://cdn.sofifa.org/teams/2/light/110500.png,https://cdn.sofifa.org/players/4/19/203363.png
5988,A. Giannou,20,60,51,52,60,66,69,61,Australia,https://cdn.sofifa.org/flags/195.png,No club,https://cdn.sofifa.org/flags/195.png,https://cdn.sofifa.org/players/4/19/206435.png
5989,J. Hobbs,67,50,55,52,52,63,69,38,England,https://cdn.sofifa.org/flags/14.png,Bolton Wanderers,https://cdn.sofifa.org/teams/2/light/4.png,https://cdn.sofifa.org/players/4/19/165219.png
5990,R. Gíslason,35,64,64,64,72,72,69,64,Iceland,https://cdn.sofifa.org/flags/24.png,SV Sandhausen,https://cdn.sofifa.org/teams/2/light/110178.png,https://cdn.sofifa.org/players/4/19/173667.png
5991,C. M'Bengue,68,62,61,66,67,70,69,35,Senegal,https://cdn.sofifa.org/flags/136.png,AS Saint-Étienne,https://cdn.sofifa.org/teams/2/light/1819.png,https://cdn.sofifa.org/players/4/19/183395.png
5992,I. Jiménez,68,65,69,66,67,70,69,54,Mexico,https://cdn.sofifa.org/flags/83.png,Tigres U.A.N.L.,https://cdn.sofifa.org/teams/2/light/1970.png,https://cdn.sofifa.org/players/4/19/186979.png
5993,A. Al Khaibari,68,54,60,57,68,71,69,45,Saudi Arabia,https://cdn.sofifa.org/flags/183.png,Al Hilal,https://cdn.sofifa.org/teams/2/light/605.png,https://cdn.sofifa.org/players/4/19/191843.png
5994,S. Yatabaré,66,62,70,67,67,70,69,64,Mali,https://cdn.sofifa.org/flags/126.png,Royal Antwerp FC,https://cdn.sofifa.org/teams/2/light/230.png,https://cdn.sofifa.org/players/4/19/192611.png
5995,J. Lowe,67,54,64,67,64,67,70,57,England,https://cdn.sofifa.org/flags/14.png,Bolton Wanderers,https://cdn.sofifa.org/teams/2/light/4.png,https://cdn.sofifa.org/players/4/19/200292.png
5996,E. Jelenič,48,65,58,66,80,70,70,60,Slovenia,https://cdn.sofifa.org/flags/44.png,Carpi,https://cdn.sofifa.org/teams/2/light/112409.png,https://cdn.sofifa.org/players/4/19/202084.png
5997,M. Abero,66,63,63,56,70,71,69,55,Uruguay,https://cdn.sofifa.org/flags/60.png,Atlético Tucumán,https://cdn.sofifa.org/teams/2/light/111708.png,https://cdn.sofifa.org/players/4/19/210532.png
5998,A. Teikeu,74,50,47,37,49,66,70,33,Cameroon,https://cdn.sofifa.org/flags/103.png,Ohod Club,https://cdn.sofifa.org/teams/2/light/113219.png,https://cdn.sofifa.org/players/4/19/213348.png
5999,E. Castillo,65,64,66,64,80,76,69,60,United States,https://cdn.sofifa.org/flags/95.png,Colorado Rapids,https://cdn.sofifa.org/teams/2/light/694.png,https://cdn.sofifa.org/players/4/19/171364.png
6000,M. Wagué,66,56,64,62,77,72,75,38,Senegal,https://cdn.sofifa.org/flags/136.png,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,https://cdn.sofifa.org/players/4/19/237156.png
6001,P. Klandt,10,16,23,21,50,52,69,16,Germany,https://cdn.sofifa.org/flags/21.png,1. FC Nürnberg,https://cdn.sofifa.org/teams/2/light/171.png,https://cdn.sofifa.org/players/4/19/177508.png
6002,Farley,20,63,48,68,70,58,71,64,Brazil,https://cdn.sofifa.org/flags/54.png,Ettifaq FC,https://cdn.sofifa.org/teams/2/light/112096.png,https://cdn.sofifa.org/players/4/19/245348.png
6003,Luís Martins,69,64,62,71,69,64,70,63,Portugal,https://cdn.sofifa.org/flags/38.png,GD Chaves,https://cdn.sofifa.org/teams/2/light/518.png,https://cdn.sofifa.org/players/4/19/205669.png
6004,S. Riether,73,64,66,70,61,64,69,53,Germany,https://cdn.sofifa.org/flags/21.png,FC Schalke 04,https://cdn.sofifa.org/teams/2/light/34.png,https://cdn.sofifa.org/players/4/19/111206.png
6005,L. Diarte,76,52,53,50,66,76,72,32,Argentina,https://cdn.sofifa.org/flags/52.png,San Martin de Tucumán,https://cdn.sofifa.org/teams/2/light/111714.png,https://cdn.sofifa.org/players/4/19/223335.png
6006,G. Bojanich,66,46,52,51,44,67,69,30,Argentina,https://cdn.sofifa.org/flags/52.png,Argentinos Juniors,https://cdn.sofifa.org/teams/2/light/111019.png,https://cdn.sofifa.org/players/4/19/226407.png
6007,B. Mansilla,23,64,44,59,83,71,76,58,Argentina,https://cdn.sofifa.org/flags/52.png,Racing Club,https://cdn.sofifa.org/teams/2/light/101085.png,https://cdn.sofifa.org/players/4/19/228711.png
6008,Fran Villalba,46,65,57,69,67,55,74,60,Spain,https://cdn.sofifa.org/flags/45.png,CD Numancia,https://cdn.sofifa.org/teams/2/light/477.png,https://cdn.sofifa.org/players/4/19/229991.png
